athlete_id,name,tvName,dob,gender,role,country_id,disciplineList,eventList
1532872,ALEKSANYAN Artur,Artur ALEKSANYAN,1991-10-21,Male,Athlete,ARM,['WRE'],['WREMGR97KG']
1532873,AMOYAN Malkhas,Malkhas AMOYAN,1999-01-22,Male,Athlete,ARM,['WRE'],['WREMGR77KG']
1532874,GALSTYAN Slavik,Slavik GALSTYAN,1996-12-21,Male,Athlete,ARM,['WRE'],['WREMGR67KG']
1532944,HARUTYUNYAN Arsen,Arsen HARUTYUNYAN,1999-11-22,Male,Athlete,ARM,['WRE'],['WREMFS57KG']
1532945,TEVANYAN Vazgen,Vazgen TEVANYAN,1999-10-27,Male,Athlete,ARM,['WRE'],['WREMFS65KG']
1532951,ARENAS Lorena,Lorena ARENAS,1993-09-17,Female,Athlete,COL,['ATH'],"['ATHW20KMWALK', 'ATHX42KWALKT']"
1533112,McKENZIE Ashley,Ashley McKENZIE,1989-07-17,Male,Athlete,JAM,['JUD'],['JUDM60KG']
1533136,BASS BITTAYE Gina Mariam,Gina Mariam BASS BITTAYE,1995-05-03,Female,Athlete,GAM,['ATH'],"['ATHW100M', 'ATHW200M']"
1533176,CAMARA Ebrahima,Ebrahima CAMARA,1996-09-18,Male,Athlete,GAM,['ATH'],['ATHM100M']
1533188,RUEDA SANTOS Lizeth,Lizeth RUEDA SANTOS,1994-03-07,Female,Athlete,MEX,['TRI'],['TRIWOLYMPIC']
1533189,TAPIA VIDAL Rosa Maria,Rosa Maria TAPIA VIDAL,1997-08-27,Female,Athlete,MEX,['TRI'],['TRIWOLYMPIC']
1533190,GRAJALES Crisanto,Crisanto GRAJALES,1987-05-06,Male,Athlete,MEX,['TRI'],['TRIMOLYMPIC']
1533208,MAAROUFOU Hachim,Hachim MAAROUFOU,1997-02-13,Male,Athlete,COM,['ATH'],['ATHM100M']
1533209,SAADI Maesha,Maesha SAADI,2007-01-16,Female,Athlete,COM,['SWM'],['SWMW50MFR']
1533230,DIOSDADO Nuria,Nuria DIOSDADO,1990-08-22,Female,Athlete,MEX,['SWA'],"['SWAOTEAM8', 'SWAWTEAM2']"
1533231,JIMENEZ Joana,Joana JIMENEZ,1993-08-19,Female,Athlete,MEX,['SWA'],"['SWAOTEAM8', 'SWAWTEAM2']"
1533232,SOBRINO Jessica,Jessica SOBRINO,1994-05-26,Female,Athlete,MEX,['SWA'],['SWAOTEAM8']
1533234,ALFEREZ Regina,Regina ALFEREZ,1997-12-01,Female,Athlete,MEX,['SWA'],['SWAOTEAM8']
1533235,ARELLANO Fernanda,Fernanda ARELLANO,2002-02-28,Female,Athlete,MEX,['SWA'],['SWAOTEAM8']
1533237,TOSCANO Pamela,Pamela TOSCANO,2000-01-13,Female,Athlete,MEX,['SWA'],['SWAOTEAM8']
1533239,GONZALEZ Itzamary,Itzamary GONZALEZ,2003-11-14,Female,Athlete,MEX,['SWA'],['SWAOTEAM8']
1533240,RODRIGUEZ Samanta,Samanta RODRIGUEZ,1994-12-05,Female,Athlete,MEX,['SWA'],['SWAOTEAM8']
1533243,INZUNZA Glenda,Glenda INZUNZA,2000-03-12,Female,Alternate Athlete,MEX,['SWA'],['SWAOTEAM8']
1533245,SEHEN Sajjad,Sajjad SEHEN,1996-03-08,Male,Athlete,IRQ,['JUD'],['JUDM81KG']
1533359,RUBAIAWI Ali Ammar Yusur,Ali Ammar Yusur RUBAIAWI,2004-08-02,Male,Athlete,IRQ,['WLF'],['WLFMO102KG']
1533364,ISMAIL Mohamed,Mohamed ISMAIL,1997-01-01,Male,Athlete,DJI,['ATH'],['ATHM5000M']
1533371,HASSAN Ibrahim,Ibrahim HASSAN,1997-01-01,Male,Athlete,DJI,['ATH'],['ATHMMARATHON']
1533372,WAISS Abdi,Abdi WAISS,1996-07-03,Male,Athlete,DJI,['ATH'],['ATHM5000M']
1533374,HASSAN NOUR Samiyah,Samiyah HASSAN NOUR,1999-12-05,Female,Athlete,DJI,['ATH'],['ATHW5000M']
1533378,HOUSSEIN BARKAT Houmed,Houmed HOUSSEIN BARKAT,2004-04-04,Male,Athlete,DJI,['SWM'],['SWMM50MFR']
1535180,BARAT Andy,Andy BARAT,1997-11-29,Male,Athlete,COM,['CSL'],"['CSLMK1', 'CSLMX1']"
