event_id,event_name,discipline_id
BK3MTEAM3,Men,BK3
BK3WTEAM3,Women,BK3
ARCMINDIVID,Men's Individual,ARC
ARCWINDIVID,Women's Individual,ARC
ARCMTEAM3,Men's Team,ARC
ARCWTEAM3,Women's Team,ARC
ARCXTEAM2,Mixed Team,ARC
GARMTEAM,Men's Team,GAR
GARM1AA,Men's All-Around,GAR
GARM1APFX,Men's Floor Exercise,GAR
GARM1APPH,Men's Pommel Horse,GAR
GARM1APSR,Men's Rings,GAR
GARM1APVT,Men's Vault,GAR
GARM1APPB,Men's Parallel Bars,GAR
GARM1APHB,Men's Horizontal Bar,GAR
GARWTEAM,Women's Team,GAR
GARW1AA,Women's All-Around,GAR
GARW1APVT,Women's Vault,GAR
GARW1APUB,Women's Uneven Bars,GAR
GARW1APBB,Women's Balance Beam,GAR
GARW1APFX,Women's Floor Exercise,GAR
SWAWTEAM2,Duet,SWA
SWAOTEAM8,Team,SWA
ATHM100M,Men's 100m,ATH
ATHM200M,Men's 200m,ATH
ATHM400M,Men's 400m,ATH
ATHM800M,Men's 800m,ATH
ATHM1500M,Men's 1500m,ATH
ATHM5000M,Men's 5000m,ATH
ATHM10000M,"Men's 10,000m",ATH
ATHMMARATHON,Men's Marathon,ATH
ATHM3000MST,Men's 3000m Steeplechase,ATH
ATHM110MHURD,Men's 110m Hurdles,ATH
ATHM400MHURD,Men's 400m Hurdles,ATH
ATHMHIGHJUMP,Men's High Jump,ATH
ATHMPLEVAULT,Men's Pole Vault,ATH
ATHMLONGJUMP,Men's Long Jump,ATH
ATHMTRPLJUMP,Men's Triple Jump,ATH
ATHMSHOTPUT,Men's Shot Put,ATH
ATHMDISCUS,Men's Discus Throw,ATH
ATHMHAMMER,Men's Hammer Throw,ATH
ATHMJAVELIN,Men's Javelin Throw,ATH
ATHMDECATH,Men's Decathlon,ATH
ATHM20KMWALK,Men's 20km Race Walk,ATH
ATHM4X100M,Men's 4 x 100m Relay,ATH
ATHM4X400M,Men's 4 x 400m Relay,ATH
ATHW100M,Women's 100m,ATH
ATHW200M,Women's 200m,ATH
ATHW400M,Women's 400m,ATH
ATHW800M,Women's 800m,ATH
ATHW1500M,Women's 1500m,ATH
ATHW5000M,Women's 5000m,ATH
ATHW10000M,"Women's 10,000m",ATH
ATHWMARATHON,Women's Marathon,ATH
ATHW3000MST,Women's 3000m Steeplechase,ATH
ATHW100MHURD,Women's 100m Hurdles,ATH
ATHW400MHURD,Women's 400m Hurdles,ATH
ATHWHIGHJUMP,Women's High Jump,ATH
ATHWPLEVAULT,Women's Pole Vault,ATH
ATHWLONGJUMP,Women's Long Jump,ATH
ATHWTRPLJUMP,Women's Triple Jump,ATH
ATHWSHOTPUT,Women's Shot Put,ATH
ATHWDISCUS,Women's Discus Throw,ATH
ATHWHAMMER,Women's Hammer Throw,ATH
ATHWJAVELIN,Women's Javelin Throw,ATH
ATHWHEPTATH,Women's Heptathlon,ATH
ATHW20KMWALK,Women's 20km Race Walk,ATH
ATHW4X100M,Women's 4 x 100m Relay,ATH
