horse_id,name,short_name,year_of_birth,country_id,discipline_id
H000044,MILKY WAY,MILKY WAY,2007,AUS,EQU
H000046,FELLOW CASTLEFIELD,FELLOW CASTLEFIELD,2010,AUS,EQU
H000048,ELEKTRIC BLUE P,ELEKTRIC BLUE P,2011,AUT,EQU
H000049,RENEGADE,RENEGADE,2013,AUT,EQU
H000051,NAXCEL V,NAXCEL V,2013,AUT,EQU
H000054,CUMA 5,CUMA 5,2012,AUT,EQU
H000056,QUEL HOMME DE HUS,QUEL HOMME DE HUS,2006,BEL,EQU
H000060,ERMITAGE KALONE,ERMITAGE KALONE,2014,BEL,EQU
H000062,IQ VAN HET STEENTJE,IQ VAN HET STEENTJE,2008,BEL,EQU
H000063,BOND JAMESBOND DE HAY,BOND JAMESBOND DE HAY,2011,BEL,EQU
H000065,PRIMAVERA,PRIMAVERA,2011,BRA,EQU
H000068,MISS BLUE,MISS BLUE,2013,BRA,EQU
H000070,MAJOR TOM,MAJOR TOM,2013,BRA,EQU
H000072,NIMROD DE MUZE,NIMROD DE MUZE,2011,BRA,EQU
H000078,NIKKA VD BISSCHOP,NIKKA VD BISSCHOP,2013,CAN,EQU
H000080,EMERSON,EMERSON,2012,CAN,EQU
H000082,FIGOR,FIGOR,2010,CAN,EQU
H000083,TRUMAN,TRUMAN,2009,CAN,EQU
H000087,NELSON DU PETIT VIVIER,NELSON DU PETIT VIVIER,2013,CHI,EQU
H000090,KHEROS VAN'T HOOGEINDE,KHEROS VAN'T HOOGEINDE,2010,COL,EQU
H000094,NAPOLI VH NEDERASSENTHOF,NAPOLI VH NEDERASSENTHOF,2013,DEN,EQU
H000095,CORONADO,CORONADO,2009,EGY,EQU
H000099,LEGEND,LEGEND,2011,ESP,EQU
H000101,PUMA HS,PUMA HS,2013,ESP,EQU
H000103,TIRANO,TIRANO,2013,ESP,EQU
H000107,EXPERT,EXPERT,2009,EST,EQU
H000110,I AMELUSINA R 51,I AMELUSINA R 51,2013,FRA,EQU
H000112,DUBAI DU CEDRE,DUBAI DU CEDRE,2013,FRA,EQU
H000113,DORAI D'AIGUILLY,DORAI D'AIGUILLY,2013,FRA,EQU
H000114,VIKING D'LA ROUSSERIE,VIKING D'LA ROUSSERIE,2009,FRA,EQU
H000118,JEFFERSON,JEFFERSON,2009,GBR,EQU
H000119,ROMEO 88,ROMEO 88,2009,GBR,EQU
H000123,POINT BREAK,POINT BREAK,2014,GBR,EQU
H000124,CACHAREL,CACHAREL,2011,GBR,EQU
H000129,CHECKER 47,CHECKER 47,2010,GER,EQU
H000132,UNITED TOUCH S,UNITED TOUCH S,2012,GER,EQU
H000133,DORETTE,DORETTE,2009,GER,EQU
H000134,ZINEDAY,ZINEDAY,2014,GER,EQU
H000138,L'ARTISTE DE TOXANDRA,L'ARTISTE DE TOXANDRA,2011,GRE,EQU
H000140,LEGACY,LEGACY,2010,IRL,EQU
H000146,MAURICE,MAURICE,2012,IRL,EQU
H000147,JAMES KANN CRUZ,JAMES KANN CRUZ,2013,IRL,EQU
H000149,PACINO AMIRO,PACINO AMIRO,2012,IRL,EQU
H000153,LADRIANO Z,LADRIANO Z,2008,ISR,EQU
H000154,DONATELLO 141,DONATELLO 141,2011,ISR,EQU
H000156,GALAXY HM,GALAXY HM,2011,ISR,EQU
H000157,C VIER 2,C VIER 2,2008,ISR,EQU
H000159,ODENSE ODEVELD,ODENSE ODEVELD,2014,ITA,EQU
H000161,KARAMELL M & M,KARAMELL M & M,2014,JPN,EQU
H000163,SAXO DE LA COUR,SAXO DE LA COUR,2006,JPN,EQU
H000165,CHADELLANO,CHADELLANO,2011,JPN,EQU
H000168,QUINCY 194,QUINCY 194,2011,JPN,EQU
H000170,UNTOUCHABLE 32,UNTOUCHABLE 32,2013,KSA,EQU
H000171,JAGUAR KING WD,JAGUAR KING WD,2014,KSA,EQU
H000174,VENTAGO,VENTAGO,2013,KSA,EQU
H000175,ALAMO,ALAMO,2008,KSA,EQU
H000176,PALLADIUM KJV,PALLADIUM KJV,2014,LAT,EQU
H000177,LINKOLNS,LINKOLNS,2007,LTU,EQU
H000178,CONTENDROS 2,CONTENDROS 2,2007,MEX,EQU
H000179,H-LUCKY RETTO,H-LUCKY RETTO,2012,MEX,EQU
H000181,CONTAGO,CONTAGO,2011,MEX,EQU
H000183,PORTHOS MAESTRO WH Z,PORTHOS MAESTRO WH Z,2014,MEX,EQU
H000190,IMAGINE,IMAGINE,2013,NED,EQU
H000191,GRANDORADO,GRANDORADO,2011,NED,EQU
H000194,URICAS V/D KATTEVENNEN,URICAS V/D KATTEVENNEN,2012,NED,EQU
H000196,BEAUVILLE Z,BEAUVILLE Z,2010,NED,EQU
H000201,MISTRAL VAN DE VOGELZANG,MISTRAL VAN DE VOGELZANG,2012,NOR,EQU
H000203,ISSEM,ISSEM,2013,POL,EQU
H000204,FLASH BLUE B,FLASH BLUE B,2010,POL,EQU
H000209,COLINERO,COLINERO,2012,POL,EQU
H000210,CHEPETTANO,CHEPETTANO,2012,POL,EQU
H000211,DOURADOS 2,DOURADOS 2,2013,POR,EQU
H000214,LEONE JEI,LEONE JEI,2012,SUI,EQU
H000215,DYNAMIX DE BELHEME,DYNAMIX DE BELHEME,2013,SUI,EQU
H000218,GAMIN VAN'T NAASTVELDHOF,GAMIN VAN'T NAASTVELDHOF,2012,SUI,EQU
H000219,VANCOUVER DE LANLORE,VANCOUVER DE LANLORE,2009,SUI,EQU
H000224,INDIANA,INDIANA,2008,SWE,EQU
H000225,ZUCCERO HV,ZUCCERO HV,2012,SWE,EQU
H000227,CATCH ME NOT S,CATCH ME NOT S,2006,SWE,EQU
H000230,KING EDWARD,KING EDWARD,2010,SWE,EQU
H000233,VAGABON DES FORETS,VAGABON DES FORETS,2009,SYR,EQU
H000234,KINMAR AGALUX,KINMAR AGALUX,2012,THA,EQU
H000235,JARLIN DE TORRES,JARLIN DE TORRES,2011,UAE,EQU
H000237,MCGREGOR,MCGREGOR,2012,UAE,EQU
H000239,ENJOY DE LA MURE,ENJOY DE LA MURE,2014,UAE,EQU
H000241,FONCETTI VD HEFFINCK,FONCETTI VD HEFFINCK,2014,UAE,EQU
H000242,CARACOLE DE LA ROQUE,CARACOLE DE LA ROQUE,2012,USA,EQU
H000245,GREYA,GREYA,2014,USA,EQU
H000247,BALOUTINUE,BALOUTINUE,2010,USA,EQU
H000253,ILEX,ILEX,2013,USA,EQU
H000254,CONDARA,CONDARA,2012,VEN,EQU
H000255,QUINCY B,QUINCY B,2014,AUS,EQU
H000258,IVANHOE,IVANHOE,2013,AUS,EQU
H000260,MYSTERIOUS STAR,MYSTERIOUS STAR,2013,AUS,EQU
H000262,DESTANO,DESTANO,2007,AUS,EQU
H000266,FIDERTRAUM OLD,FIDERTRAUM OLD,2009,AUT,EQU
H000267,ROBERTO CARLOS MT,ROBERTO CARLOS MT,2010,AUT,EQU
H000269,ABEGGLEN FH NRW,ABEGGLEN FH NRW,2010,AUT,EQU
H000271,TE QUIERO SF,TE QUIERO SF,2011,AUT,EQU
H000275,FLYNN FRH,FLYNN FRH,2014,BEL,EQU
H000276,BOTTICELLI,BOTTICELLI,2006,BEL,EQU
H000279,FLAMBEAU,FLAMBEAU,2010,BEL,EQU
H000282,FEEL GOOD VO,FEEL GOOD VO,2012,BRA,EQU
H000285,FINNLANDERIN,FINNLANDERIN,2010,CAN,EQU
H000289,DELACROIX 11,DELACROIX 11,2010,CAN,EQU
H000291,STATESMAN,STATESMAN,2007,CAN,EQU
H000293,ECLIPS,ECLIPS,2009,CAN,EQU
H000294,VAYRON,VAYRON,2011,DEN,EQU
H000296,FREESTYLE,FREESTYLE,2009,DEN,EQU
H000299,ZEPTER,ZEPTER,2008,DEN,EQU
H000301,FAVOUR GERSDORF,FAVOUR GERSDORF,2013,DEN,EQU
H000305,AQUAMARIJN,AQUAMARIJN,2005,DOM,EQU
H000306,JEWEL'S GOLDSTRIKE,JEWEL'S GOLDSTRIKE,2011,ECU,EQU
H000308,FRIZZANTINO FRH,FRIZZANTINO FRH,2015,ESP,EQU
H000310,HI-RICO DO SOBRAL,HI-RICO DO SOBRAL,2012,ESP,EQU
H000313,EUCLIDES MOR,EUCLIDES MOR,2009,ESP,EQU
H000314,MALAGUENO LXXXIII,MALAGUENO LXXXIII,2010,ESP,EQU
H000319,DAYTONA,DAYTONA,2013,FIN,EQU
H000320,GREEK AIR,GREEK AIR,2011,FIN,EQU
H000321,GLAMOURALINE,GLAMOURALINE,2011,FIN,EQU
H000322,TIFFANYS DIAMOND,TIFFANYS DIAMOND,2012,FIN,EQU
H000325,JOLENE,JOLENE,2012,FRA,EQU
H000326,SERTORIUS DE RIMA Z,SERTORIUS DE RIMA Z,2010,FRA,EQU
H000330,GOTILAS DU FEUILLARD,GOTILAS DU FEUILLARD,2011,FRA,EQU
H000332,JIBRALTAR DE MASSA,JIBRALTAR DE MASSA,2014,FRA,EQU
H000337,IMHOTEP,IMHOTEP,2013,GBR,EQU
H000339,GLAMOURDALE,GLAMOURDALE,2011,GBR,EQU
H000342,FAME,FAME,2010,GBR,EQU
H000344,JAGERBOMB,JAGERBOMB,2014,GBR,EQU
H000352,FENDI,FENDI,2014,GER,EQU
H000353,TSF DALERA BB,TSF DALERA BB,2007,GER,EQU
H000354,BLUETOOTH OLD,BLUETOOTH OLD,2010,GER,EQU
H000355,WENDY,WENDY,2014,GER,EQU
H000359,SIR CARAMELLO OLD,SIR CARAMELLO OLD,2007,IND,EQU
H000361,GIRALDO,GIRALDO,2011,IRL,EQU
H000364,DELMONTE 7,DELMONTE 7,2011,KOR,EQU
H000365,NABAB,NABAB,2013,LTU,EQU
H000368,QUATER BACK JUNIOR FRH,QUATER BACK JUNIOR FRH,2009,LUX,EQU
H000369,ALL AT ONCE,ALL AT ONCE,2010,MAR,EQU
