athlete_id,country_id,event_id,discipline_id,date,medal_type
1945125,CHN,SWMW4X100MMD,SWM,2024-08-04,ME_BRONZE
1945125,CHN,SWMW4X100MFR,SWM,2024-07-27,ME_BRONZE
1945125,CHN,SWMW50MFR,SWM,2024-08-04,ME_BRONZE
1945125,CHN,SWMX4X100MMD,SWM,2024-08-03,ME_SILVER
1945125,CHN,SWMW100MBF,SWM,2024-07-28,ME_BRONZE
1945125,CHN,SWMW200MBF,SWM,2024-08-01,ME_BRONZE
1909294,FRA,SWMM200MBR,SWM,2024-07-31,ME_GOLD
1909294,FRA,SWMM400MIM,SWM,2024-07-28,ME_GOLD
1909294,FRA,SWMM200MIM,SWM,2024-08-02,ME_GOLD
1909294,FRA,SWMM4X100MMD,SWM,2024-08-04,ME_BRONZE
1909294,FRA,SWMM200MBF,SWM,2024-07-31,ME_GOLD
1935923,USA,SWMW4X100MMD,SWM,2024-08-04,ME_GOLD
1935923,USA,SWMW4X100MFR,SWM,2024-07-27,ME_SILVER
1935923,USA,SWMX4X100MMD,SWM,2024-08-03,ME_GOLD
1935923,USA,SWMW100MFR,SWM,2024-07-31,ME_SILVER
1935923,USA,SWMW100MBF,SWM,2024-07-28,ME_GOLD
1946218,AUS,SWMW4X100MMD,SWM,2024-08-04,ME_SILVER
1946218,AUS,SWMW4X100MFR,SWM,2024-07-27,ME_GOLD
1946218,AUS,SWMW4X200MFR,SWM,2024-08-01,ME_GOLD
1946218,AUS,SWMW200MFR,SWM,2024-07-29,ME_GOLD
1946218,AUS,SWMX4X100MMD,SWM,2024-08-03,ME_BRONZE
1935984,USA,SWMW4X100MMD,SWM,2024-08-04,ME_GOLD
1935984,USA,SWMW100MBA,SWM,2024-07-30,ME_SILVER
1935984,USA,SWMX4X100MMD,SWM,2024-08-03,ME_GOLD
1935984,USA,SWMW200MBA,SWM,2024-08-02,ME_SILVER
1935984,USA,SWMW200MBF,SWM,2024-08-01,ME_SILVER
1946198,AUS,SWMW4X100MMD,SWM,2024-08-04,ME_SILVER
1946198,AUS,SWMW100MBA,SWM,2024-07-30,ME_GOLD
1946198,AUS,SWMX4X100MMD,SWM,2024-08-03,ME_BRONZE
1946198,AUS,SWMW200MIM,SWM,2024-08-03,ME_BRONZE
1946198,AUS,SWMW200MBA,SWM,2024-08-02,ME_GOLD
1967140,CAN,SWMW400MIM,SWM,2024-07-29,ME_GOLD
1967140,CAN,SWMW400MFR,SWM,2024-07-27,ME_SILVER
1967140,CAN,SWMW200MIM,SWM,2024-08-03,ME_GOLD
1967140,CAN,SWMW200MBF,SWM,2024-08-01,ME_GOLD
1959861,USA,GARW1AA,GAR,2024-08-01,ME_GOLD
1959861,USA,GARW1APVT,GAR,2024-08-03,ME_GOLD
1959861,USA,GARW1APFX,GAR,2024-08-05,ME_SILVER
1959861,USA,GARWTEAM,GAR,2024-07-30,ME_GOLD
1919480,JPN,GARM1APPB,GAR,2024-08-05,ME_BRONZE
1919480,JPN,GARM1AA,GAR,2024-07-31,ME_GOLD
1919480,JPN,GARMTEAM,GAR,2024-07-29,ME_GOLD
1919480,JPN,GARM1APHB,GAR,2024-08-05,ME_GOLD
1946150,AUS,SWMW400MFR,SWM,2024-07-27,ME_GOLD
1946150,AUS,SWMW4X200MFR,SWM,2024-08-01,ME_GOLD
1946150,AUS,SWMW800MFR,SWM,2024-08-03,ME_SILVER
1946150,AUS,SWMW200MFR,SWM,2024-07-29,ME_SILVER
1935895,USA,SWMW4X100MMD,SWM,2024-08-04,ME_GOLD
1935895,USA,SWMW4X100MFR,SWM,2024-07-27,ME_SILVER
1935895,USA,SWMW200MIM,SWM,2024-08-03,ME_SILVER
1935895,USA,SWMW200MBR,SWM,2024-08-01,ME_GOLD
1935998,USA,SWMW4X100MMD,SWM,2024-08-04,ME_GOLD
1935998,USA,SWMW4X100MFR,SWM,2024-07-27,ME_SILVER
1935998,USA,SWMX4X100MMD,SWM,2024-08-03,ME_GOLD
1935998,USA,SWMW100MBF,SWM,2024-07-28,ME_SILVER
1935938,USA,SWMW400MFR,SWM,2024-07-27,ME_BRONZE
1935938,USA,SWMW4X200MFR,SWM,2024-08-01,ME_SILVER
1935938,USA,SWMW800MFR,SWM,2024-08-03,ME_GOLD
1935938,USA,SWMW1500MFR,SWM,2024-07-31,ME_GOLD
1953634,BRA,GARW1AA,GAR,2024-08-01,ME_SILVER
1953634,BRA,GARW1APVT,GAR,2024-08-03,ME_SILVER
1953634,BRA,GARW1APFX,GAR,2024-08-05,ME_GOLD
